mssubclass,mszoning,lotfrontage,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,wooddecksf,openporchsf,enclosedporch,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice,SalePrice Bucket
MSSubClass-20,MSZoning-RL,LotFrontage-65,LotShape-Reg,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Feedr,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-7,YearBuilt-1961,YearRemodAdd-1994,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-465,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-447,TotalBsmtSF-912,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1236,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1961,GarageFinish-Unf,GarageCars-1,GarageArea-288,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-135000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Inside,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-4,OverallCond-6,YearBuilt-1971,YearRemodAdd-1971,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-322,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-536,TotalBsmtSF-858,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-858,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1979,GarageFinish-Unf,GarageCars-1,GarageArea-684,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-110000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-64,LotShape-IR1,LotConfig-Inside,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-7,YearBuilt-1957,YearRemodAdd-2000,RoofStyle-Hip,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-Gd,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-BLQ,BsmtFinSF1-860,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-132,TotalBsmtSF-992,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1306,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1968,GarageFinish-Unf,GarageCars-1,GarageArea-756,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-153000,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-63,LotShape-Reg,LotConfig-Inside,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-2003,YearRemodAdd-2003,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-783,TotalBsmtSF-783,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1509,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2003,GarageFinish-Fin,GarageCars-2,GarageArea-393,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-75,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-180000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-50,LotShape-IR1,LotConfig-CulDSac,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Hip,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-27,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1670,TotalBsmtSF-1670,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1670,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-3,GarageArea-690,GarageQual-TA,WoodDeckSF-144,OpenPorchSF-60,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-240000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1967,YearRemodAdd-1967,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-Wd Sdng,MasVnrType-BrkFace,MasVnrArea-75,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-599,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-277,TotalBsmtSF-876,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-902,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1967,GarageFinish-Unf,GarageCars-1,GarageArea-288,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-MnPrv,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-125500,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-80,LotShape-Reg,LotConfig-Inside,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-5,YearBuilt-1954,YearRemodAdd-1954,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-Stone,MasVnrArea-110,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-354,BsmtFinType2-LwQ,BsmtFinSF2-290,BsmtUnfSF-412,TotalBsmtSF-1056,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1063,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1954,GarageFinish-RFn,GarageCars-1,GarageArea-280,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-164,Fence-MnPrv,MiscFeature-NA,MiscVal-0,MoSold-2,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-128000,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-116,LotShape-IR1,LotConfig-Corner,Neighborhood-Somerst,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-208,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-63,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1560,TotalBsmtSF-1623,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1636,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-3,GarageArea-865,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-60,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-255000,gt_200000
MSSubClass-50,MSZoning-RL,LotFrontage-86,LotShape-IR1,LotConfig-Inside,Neighborhood-Crawfor,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Fin,OverallQual-7,OverallCond-7,YearBuilt-1936,YearRemodAdd-1987,RoofStyle-Gable,Exterior1st-BrkFace,Exterior2nd-BrkFace,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-223,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-794,TotalBsmtSF-1017,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-2057,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-1936,GarageFinish-Fin,GarageCars-1,GarageArea-180,GarageQual-Fa,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-250000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Inside,Neighborhood-Mitchel,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-5,YearBuilt-1983,YearRemodAdd-1983,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-BLQ,BsmtFinSF1-301,BsmtFinType2-ALQ,BsmtFinSF2-324,BsmtUnfSF-239,TotalBsmtSF-864,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-902,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1983,GarageFinish-Unf,GarageCars-2,GarageArea-484,GarageQual-TA,WoodDeckSF-164,OpenPorchSF-0,EnclosedPorch-0,Fence-MnPrv,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-131000,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-149,LotShape-IR2,LotConfig-Inside,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-6,OverallCond-5,YearBuilt-2005,YearRemodAdd-2005,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-742,TotalBsmtSF-742,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1484,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2005,GarageFinish-Fin,GarageCars-2,GarageArea-390,GarageQual-TA,WoodDeckSF-36,OpenPorchSF-24,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-174000,gt_100000
MSSubClass-90,MSZoning-RL,LotFrontage-80,LotShape-Reg,LotConfig-Corner,Neighborhood-NAmes,Condition1-Feedr,BldgType-Duplex,HouseStyle-2Story,OverallQual-5,OverallCond-5,YearBuilt-1960,YearRemodAdd-1960,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-BrkFace,MasVnrArea-361,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-443,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-662,TotalBsmtSF-1105,HeatingQC-TA,CentralAir-Y,Electrical-FuseA,GrLivArea-2274,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-5,KitchenQual-TA,TotRmsAbvGrd-12,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1960,GarageFinish-Unf,GarageCars-2,GarageArea-480,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-1,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-154300,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-CulDSac,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-7,YearBuilt-1977,YearRemodAdd-1989,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-Gd,BsmtExposure-Av,BsmtFinType1-ALQ,BsmtFinSF1-196,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1072,TotalBsmtSF-1268,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1268,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1978,GarageFinish-Unf,GarageCars-1,GarageArea-252,GarageQual-TA,WoodDeckSF-173,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-10,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-143500,gt_100000
MSSubClass-30,MSZoning-RM,LotFrontage-51,LotShape-Reg,LotConfig-Inside,Neighborhood-BrkSide,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-7,YearBuilt-1925,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-BrkTil,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-489,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-279,TotalBsmtSF-768,HeatingQC-TA,CentralAir-N,Electrical-SBrkr,GrLivArea-1015,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Min1,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1925,GarageFinish-Unf,GarageCars-1,GarageArea-450,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-112,Fence-MnPrv,MiscFeature-Shed,MiscVal-620,MoSold-7,YrSold-2006,SaleType-WD,SaleCondition-Abnorml,SalePrice-88000,lt_100000
MSSubClass-90,MSZoning-RH,LotFrontage-82,LotShape-Reg,LotConfig-Inside,Neighborhood-Crawfor,Condition1-Norm,BldgType-Duplex,HouseStyle-2Story,OverallQual-5,OverallCond-6,YearBuilt-1949,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-284,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-717,TotalBsmtSF-1001,HeatingQC-TA,CentralAir-N,Electrical-FuseA,GrLivArea-2002,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-2Types,GarageYrBlt-1949,GarageFinish-Unf,GarageCars-3,GarageArea-871,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-145000,gt_100000
MSSubClass-160,MSZoning-FV,LotFrontage-30,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-TwnhsE,HouseStyle-2Story,OverallQual-6,OverallCond-5,YearBuilt-2009,YearRemodAdd-2009,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-76,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-294,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-318,TotalBsmtSF-612,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1224,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-2009,GarageFinish-RFn,GarageCars-2,GarageArea-528,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-234,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2009,SaleType-New,SaleCondition-Partial,SalePrice-173733,gt_100000
MSSubClass-160,MSZoning-RM,LotFrontage-21,LotShape-Reg,LotConfig-Inside,Neighborhood-MeadowV,Condition1-Norm,BldgType-Twnhs,HouseStyle-2Story,OverallQual-4,OverallCond-5,YearBuilt-1970,YearRemodAdd-1970,RoofStyle-Gable,Exterior1st-CemntBd,Exterior2nd-CmentBd,MasVnrType-BrkFace,MasVnrArea-80,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-546,TotalBsmtSF-546,HeatingQC-Fa,CentralAir-Y,Electrical-SBrkr,GrLivArea-1092,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1970,GarageFinish-Unf,GarageCars-1,GarageArea-286,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-1,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-75000,lt_100000
MSSubClass-20,MSZoning-C (all),LotFrontage-50,LotShape-Reg,LotConfig-Inside,Neighborhood-IDOTRR,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-2,OverallCond-3,YearBuilt-1949,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-AsbShng,Exterior2nd-AsbShng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-BLQ,BsmtFinSF1-50,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-430,TotalBsmtSF-480,HeatingQC-TA,CentralAir-N,Electrical-FuseA,GrLivArea-480,BsmtFullBath-1,BsmtHalfBath-0,FullBath-0,HalfBath-0,BedroomAbvGr-1,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1958,GarageFinish-Unf,GarageCars-1,GarageArea-308,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-10,YrSold-2006,SaleType-WD,SaleCondition-Abnorml,SalePrice-35311,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-Reg,LotConfig-Inside,Neighborhood-Edwards,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-4,OverallCond-6,YearBuilt-1956,YearRemodAdd-1956,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-1059,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-75,TotalBsmtSF-1134,HeatingQC-Ex,CentralAir-Y,Electrical-FuseA,GrLivArea-1229,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1956,GarageFinish-RFn,GarageCars-1,GarageArea-284,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-135000,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-103,LotShape-IR1,LotConfig-Corner,Neighborhood-SawyerW,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-1991,YearRemodAdd-1991,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-BLQ,BsmtFinSF1-48,BsmtFinType2-GLQ,BsmtFinSF2-634,BsmtUnfSF-422,TotalBsmtSF-1104,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2127,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1991,GarageFinish-RFn,GarageCars-3,GarageArea-833,GarageQual-TA,WoodDeckSF-72,OpenPorchSF-192,EnclosedPorch-224,Fence-GdPrv,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-238000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-87,LotShape-IR1,LotConfig-Corner,Neighborhood-NAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-8,YearBuilt-1958,YearRemodAdd-2002,RoofStyle-Hip,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-None,MasVnrArea-0,ExterQual-Ex,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-528,BsmtFinType2-BLQ,BsmtFinSF2-411,BsmtUnfSF-245,TotalBsmtSF-1184,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1414,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Min1,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1990,GarageFinish-Unf,GarageCars-2,GarageArea-601,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-51,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-176500,gt_100000
